ABAP,abap
ABNF,abnf
Ada,ada
ADL,adl
Agda,agda
Aheui,aheui
autohotkey,ahk
Alloy,alloy
Ampl,ampl
ANTLR,antlr
ANTLR_With_ActionScript_Target,antlr-as
ANTLR_With_CPP_Target,antlr-cpp
ANTLR_With_C__Target,antlr-csharp
ANTLR_With_Java_Target,antlr-java
ANTLR_With_ObjectiveC_Target,antlr-objc
ANTLR_With_Perl_Target,antlr-perl
ANTLR_With_Python_Target,antlr-python
ANTLR_With_Ruby_Target,antlr-ruby
ApacheConf,apacheconf
APL,apl
AppleScript,applescript
Arduino,arduino
ActionScript,as
ActionScript_3,as3
AspectJ,aspectj
aspx_cs,aspx-cs
aspx_vb,aspx-vb
Asymptote,asy
AmbientTalk,at
Augeas,augeas
AutoIt,autoit
Awk,awk
Base_Makefile,basemake
Bash,bash
Batchfile,bat
BBC_Basic,bbcbasic
BBCode,bbcode
BC,bc
Befunge,befunge
BibTeX,bib
BlitzBasic,blitzbasic
BlitzMax,blitzmax
BNF,bnf
Boa,boa
Boo,boo
Boogie,boogie
Brainfuck,brainfuck
BST,bst
BUGS,bugs
C,c
c_objdump,c-objdump
ca65_assembler,ca65
cADL,cadl
CAmkES,camkes
CapDL,capdl
Cap_n_Proto,capnp
CBM_BASIC_V2,cbmbas
Ceylon,ceylon
Coldfusion_CFC,cfc
CFEngine3,cfengine3
Coldfusion_HTML,cfm
cfstatement,cfs
ChaiScript,chai
Chapel,chapel
Charmci,charmci
Cheetah,cheetah
Cirru,cirru
Clay,clay
Clean,clean
Clojure,clojure
ClojureScript,clojurescript
CMake,cmake
COBOL,cobol
COBOLFree,cobolfree
CoffeeScript,coffee-script
Common_Lisp,common-lisp
Component_Pascal,componentpascal
Bash_Session,console
Deban_Control_file,control
Coq,coq
C__,cpp
cpp_objdump,cpp-objdump
CPSA,cpsa
Crystal,cr
Crmsh,crmsh
Croc,croc
Cryptol,cryptol
C#,csharp
Csound_Orchestra,csound
Csound_Document,csound-document
Csound_Score,csound-score
CSS,css
CSS_Django_Jinja,css+django
CSS_Ruby,css+erb
CSS_Genshi_Text,css+genshitext
CSS_Lasso,css+lasso
CSS_Mako,css+mako
CSS_mozpreproc,css+mozpreproc
CSS_Myghty,css+myghty
CSS_PHP,css+php
CSS_Smarty,css+smarty
Gherkin,cucumber
CUDA,cuda
Cypher,cypher
Cython,cython
D,d
d_objdump,d-objdump
Dart,dart
DASM16,dasm16
Delphi,delphi
dg,dg
Diff,diff
Django_Jinja,django
Docker,docker
MSDOS_Session,doscon
Darcs_Patch,dpatch
DTD,dtd
Duel,duel
Dylan,dylan
Dylan_session,dylan-console
DylanLID,dylan-lid
Earl_Grey,earl-grey
Easytrieve,easytrieve
EBNF,ebnf
eC,ec
ECL,ecl
Eiffel,eiffel
Elixir,elixir
Elm,elm
EmacsLisp,emacs
E_mail,email
ERB,erb
Erlang_erl_session,erl
Erlang,erlang
Evoque,evoque
xtlang,extempore
Ezhil,ezhil
Factor,factor
Fantom,fan
Fancy,fancy
Felix,felix
Fennel,fennel
Fish,fish
Flatline,flatline
FloScript,floscript
Forth,forth
Fortran,fortran
FortranFixed,fortranfixed
FoxPro,foxpro
Freefem,freefem
F#,fsharp
GAP,gap
GAS,gas
Genshi,genshi
Genshi_Text,genshitext
GLSL,glsl
Gnuplot,gnuplot
Go,go
Golo,golo
GoodData_CL,gooddata-cl
Gosu,gosu
Groff,groff
Groovy,groovy
Gosu_Template,gst
Haml,haml
Handlebars,handlebars
Haskell,haskell
Hxml,haxeml
Hexdump,hexdump
HLSL,hlsl
HSAIL,hsail
Hspec,hspec
HTML,html
HTML_Cheetah,html+cheetah
HTML_Django_Jinja,html+django
HTML_Evoque,html+evoque
HTML_Genshi,html+genshi
HTML_Handlebars,html+handlebars
HTML_Lasso,html+lasso
HTML_Mako,html+mako
HTML_Myghty,html+myghty
HTML___Angular2,html+ng2
HTML_PHP,html+php
HTML_Smarty,html+smarty
HTML_Twig,html+twig
HTML_Velocity,html+velocity
HTTP,http
Haxe,hx
Hybris,hybris
Hy,hylang
Inform_6_template,i6t
Icon,icon
IDL,idl
Idris,idris
Elixir_iex_session,iex
Igor,igor
Inform_6,inform6
Inform_7,inform7
INI,ini
Io,io
Ioke,ioke
IRC_logs,irc
Isabelle,isabelle
J,j
JAGS,jags
Jasmin,jasmin
Java,java
Javascript_mozpreproc,javascript+mozpreproc
JCL,jcl
Julia_console,jlcon
JavaScript,js
JavaScript_Cheetah,js+cheetah
JavaScript_Django_Jinja,js+django
JavaScript_Ruby,js+erb
JavaScript_Genshi_Text,js+genshitext
JavaScript_Lasso,js+lasso
JavaScript_Mako,js+mako
JavaScript_Myghty,js+myghty
JavaScript_PHP,js+php
JavaScript_Smarty,js+smarty
JSGF,jsgf
JSON,json
JSONBareObject,json-object
JSON_LD,jsonld
Java_Server_Page,jsp
Julia,julia
Juttle,juttle
Kal,kal
Kconfig,kconfig
Kernel_log,kmsg
Koka,koka
Kotlin,kotlin
Literate_Agda,lagda
Lasso,lasso
Literate_Cryptol,lcry
Lean,lean
LessCss,less
Literate_Haskell,lhs
Literate_Idris,lidr
Lighttpd_configuration_file,lighty
Limbo,limbo
liquid,liquid
LiveScript,live-script
LLVM,llvm
LLVM_MIR,llvm-mir
LLVM_MIR_Body,llvm-mir-body
Logos,logos
Logtalk,logtalk
LSL,lsl
Lua,lua
Makefile,make
Mako,mako
MAQL,maql
Mask,mask
Mason,mason
Mathematica,mathematica
Matlab,matlab
Matlab_session,matlabsession
markdown,md
MIME,mime
MiniD,minid
Modelica,modelica
Modula_2,modula2
Monkey,monkey
Monte,monte
MOOCode,moocode
MoonScript,moon
Mosel,mosel
mozhashpreproc,mozhashpreproc
mozpercentpreproc,mozpercentpreproc
MQL,mql
MiniScript,ms
Mscgen,mscgen
MuPAD,mupad
MXML,mxml
Myghty,myghty
MySQL,mysql
NASM,nasm
NCL,ncl
Nemerle,nemerle
nesC,nesc
NewLisp,newlisp
Newspeak,newspeak
Angular2,ng2
Nginx_configuration_file,nginx
Nimrod,nim
Nit,nit
Nix,nixos
Notmuch,notmuch
NSIS,nsis
NumPy,numpy
NuSMV,nusmv
objdump,objdump
objdump_nasm,objdump-nasm
Objective_C,objective-c
Objective_C__,objective-c++
Objective_J,objective-j
OCaml,ocaml
Octave,octave
ODIN,odin
Ooc,ooc
Opa,opa
OpenEdge_ABL,openedge
PacmanConf,pacmanconf
Pan,pan
ParaSail,parasail
Pawn,pawn
PEG,peg
Perl,perl
Perl6,perl6
PHP,php
Pig,pig
Pike,pike
PkgConfig,pkgconfig
PL_pgSQL,plpgsql
Pony,pony
PostgreSQL_SQL_dialect,postgresql
PostScript,postscript
Gettext_Catalog,pot
POVRay,pov
PowerShell,powershell
Praat,praat
Prolog,prolog
Properties,properties
Protocol_Buffer,protobuf
PowerShell_Session,ps1con
PostgreSQL_console__psql_,psql
Pug,pug
Puppet,puppet
Python_2_x_Traceback,py2tb
Python_console_session,pycon
PyPy_Log,pypylog
Python_Traceback,pytb
Python,python
Python_2_x,python2
QBasic,qbasic
QML,qml
QVTO,qvto
Racket,racket
Ragel,ragel
Ragel_in_C_Host,ragel-c
Ragel_in_CPP_Host,ragel-cpp
Ragel_in_D_Host,ragel-d
Embedded_Ragel,ragel-em
Ragel_in_Java_Host,ragel-java
Ragel_in_Objective_C_Host,ragel-objc
Ragel_in_Ruby_Host,ragel-ruby
Raw_token_data,raw
Ruby,rb
Ruby_irb_session,rbcon
RConsole,rconsole
Rd,rd
ReasonML,reason
REBOL,rebol
Red,red
Redcode,redcode
reg,registry
ResourceBundle,resource
Rexx,rexx
RHTML,rhtml
Ride,ride
Relax_NG_Compact,rnc
Roboconf_Graph,roboconf-graph
Roboconf_Instances,roboconf-instances
RobotFramework,robotframework
RQL,rql
RSL,rsl
reStructuredText,rst
TrafficScript,rts
Rust,rust
SARL,sarl
SAS,sas
Sass,sass
SuperCollider,sc
Scala,scala
Scaml,scaml
scdoc,scdoc
Scheme,scheme
Scilab,scilab
SCSS,scss
SmartGameFormat,sgf
Shen,shen
ShExC,shexc
Sieve,sieve
Silver,silver
Slash,slash
Slim,slim
Slurm,slurm
Smali,smali
Smalltalk,smalltalk
Smarty,smarty
Standard_ML,sml
Snobol,snobol
Snowball,snowball
Solidity,solidity
Debian_Sourcelist,sourceslist
SourcePawn,sp
SPARQL,sparql
RPMSpec,spec
S,splus
SQL,sql
sqlite3con,sqlite3
SquidConf,squidconf
Scalate_Server_Page,ssp
Stan,stan
Stata,stata
Swift,swift
SWIG,swig
systemverilog,systemverilog
TADS_3,tads3
TAP,tap
TASM,tasm
Tcl,tcl
Tcsh,tcsh
Tcsh_Session,tcshcon
Tea,tea
Termcap,termcap
Terminfo,terminfo
Terraform,terraform
TeX,tex
Text_only,text
Thrift,thrift
Todotxt,todotxt
TOML,toml
MoinMoin_Trac_Wiki_markup,trac-wiki
Treetop,treetop
TypeScript,ts
Transact_SQL,tsql
Tera_Term_macro,ttl
Turtle,turtle
Twig,twig
TypoScript,typoscript
TypoScriptCssData,typoscriptcssdata
TypoScriptHtmlData,typoscripthtmldata
ucode,ucode
Unicon,unicon
UrbiScript,urbiscript
USD,usd
Vala,vala
VB_net,vb.net
VBScript,vbscript
VCL,vcl
VCLSnippets,vclsnippets
VCTreeStatus,vctreestatus
Velocity,velocity
verilog,verilog
VGL,vgl
vhdl,vhdl
VimL,vim
WDiff,wdiff
Web_IDL,webidl
Whiley,whiley
X10,x10
XML,xml
XML_Cheetah,xml+cheetah
XML_Django_Jinja,xml+django
XML_Ruby,xml+erb
XML_Evoque,xml+evoque
XML_Lasso,xml+lasso
XML_Mako,xml+mako
XML_Myghty,xml+myghty
XML_PHP,xml+php
XML_Smarty,xml+smarty
XML_Velocity,xml+velocity
Xorg,xorg.conf
XQuery,xquery
XSLT,xslt
Xtend,xtend
XUL_mozpreproc,xul+mozpreproc
YAML,yaml
YAML_Jinja,yaml+jinja
Zeek,zeek
Zephir,zephir
Zig,zig
